"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"IIH","İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,5130","63,7282","142,9713","-0,4580","213,1016","-","-"
"TI3","İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,5469","60,8142","107,8917","-0,0215","212,9582","483,8126","620,1246"
"ZDZ","ZİRAAT PORTFÖY AGRESİF DEĞİŞKEN FON","Değişken Şemsiye Fonu","9,5467","66,9096","147,9557","0,6173","212,0676","-","-"
"IPB","İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","19,7031","63,5293","135,3807","2,5339","211,8292","511,7435","785,0398"
"HLR","HEDEF PORTFÖY ADA HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-1,9595","-5,8896","67,0023","-5,4998","209,6018","-","-"
"FYD","QNB FINANS PORTFÖY BIRINCI HISSE SENEDI FONU (HISSE SENEDI YOĞUN FON)","Hisse Senedi Şemsiye Fonu","6,1895","46,7606","121,5280","-0,2035","208,5388","549,3749","651,4258"
"TCD","TACİRLER PORTFÖY DEĞIŞKEN FON","Değişken Şemsiye Fonu","11,9299","76,9695","148,5240","-0,7321","207,9347","818,9724","2.065,7857"
"GL1","AZİMUT PYŞ BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","7,6763","65,4345","136,0477","-0,7075","207,6234","545,1315","921,2378"
"EID","QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON)","Hisse Senedi Şemsiye Fonu","10,7478","61,8452","146,8813","-1,0543","207,4398","570,3701","928,5635"
"KYA","KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,4994","54,7681","156,0850","0,0949","206,3942","514,5975","492,2594"
"OSH","OSMANLI PORTFÖY MİNERVA SERBEST FON","Serbest Şemsiye Fonu","16,5538","84,0252","155,6481","0,0000","205,9407","421,0221","-"
"IAS","QİNVEST PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","8,1968","74,9774","188,2520","8,5990","205,8880","483,4709","-"
